"graph","class","property"
"BALTO","http://schema.org/DataCatalog","http://schema.org/dataset"
"BALTO","http://schema.org/DataCatalog","http://schema.org/isAccessibleForFree"
"BALTO","http://schema.org/DataCatalog","http://schema.org/name"
"BALTO","http://schema.org/DataCatalog","http://schema.org/publisher"
"BALTO","http://schema.org/DataCatalog","http://schema.org/url"
"BALTO","http://schema.org/Dataset","http://schema.org/name"
"BALTO","http://schema.org/Dataset","http://schema.org/sameAs"
"BALTO","http://schema.org/Organization","http://schema.org/address"
"BALTO","http://schema.org/Organization","http://schema.org/email"
"BALTO","http://schema.org/Organization","http://schema.org/name"
"BALTO","http://schema.org/Organization","http://schema.org/telephone"
"BALTO","http://schema.org/PostalAddress","http://schema.org/addressCountry"
"BALTO","http://schema.org/PostalAddress","http://schema.org/addressLocality"
"BALTO","http://schema.org/PostalAddress","http://schema.org/addressRegion"
"BALTO","http://schema.org/PostalAddress","http://schema.org/postalCode"
"BALTO","http://schema.orgDataCatalog","http://schema.orgname"
"BALTO","http://schema.orgDataCatalog","http://schema.orgsameAs"
"BALTO","http://schema.orgDataset","http://schema.orgincludedInDataCatalog"
"BALTO","http://schema.orgDataset","http://schema.orgname"
"BALTO","http://schema.orgDataset","http://schema.orgurl"
"BALTO","http://schema.orgDataset","http://schema.orgvariableMeasured"
"BALTO","http://schema.orgPropertyValue","http://schema.orgname"
"BALTO","http://schema.orgPropertyValue","http://schema.orgvalue"
"BALTO","http://schema.orgPropertyValue","http://schema.orgvalueReference"
"BCO-DMO","http://schema.org/Action","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Action","http://schema.org/description"
"BCO-DMO","http://schema.org/Action","http://schema.org/name"
"BCO-DMO","http://schema.org/Action","http://schema.org/subjectOf"
"BCO-DMO","http://schema.org/Audience","http://schema.org/audienceType"
"BCO-DMO","http://schema.org/Audience","http://schema.org/name"
"BCO-DMO","http://schema.org/ConsumeAction","http://schema.org/object"
"BCO-DMO","http://schema.org/ConsumeAction","http://schema.org/target"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/contactType"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/email"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/name"
"BCO-DMO","http://schema.org/ContactPoint","http://schema.org/url"
"BCO-DMO","http://schema.org/CreateAction","http://schema.org/target"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/alternateName"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/description"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/fileFormat"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/identifier"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/isBasedOn"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/name"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/text"
"BCO-DMO","http://schema.org/CreativeWork","http://schema.org/url"
"BCO-DMO","http://schema.org/DataCatalog","http://schema.org/audience"
"BCO-DMO","http://schema.org/DataCatalog","http://schema.org/name"
"BCO-DMO","http://schema.org/DataCatalog","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/DataDownload","http://schema.org/contentUrl"
"BCO-DMO","http://schema.org/DataDownload","http://schema.org/datePublished"
"BCO-DMO","http://schema.org/DataDownload","http://schema.org/encodingFormat"
"BCO-DMO","http://schema.org/DataDownload","http://schema.org/inLanguage"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/alternateName"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/citation"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/creator"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/datePublished"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/description"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/distribution"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/funder"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/identifier"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/includedInDataCatalog"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/isPartOf"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/keywords"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/license"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/measurementTechnique"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/name"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/provider"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/publisher"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/recordedAt"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/temporalCoverage"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/url"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/variableMeasured"
"BCO-DMO","http://schema.org/Dataset","http://schema.org/version"
"BCO-DMO","http://schema.org/DigitalDocument","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/DigitalDocument","http://schema.org/fileFormat"
"BCO-DMO","http://schema.org/DigitalDocument","http://schema.org/name"
"BCO-DMO","http://schema.org/DigitalDocument","http://schema.org/url"
"BCO-DMO","http://schema.org/EntryPoint","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/EntryPoint","http://schema.org/contentType"
"BCO-DMO","http://schema.org/EntryPoint","http://schema.org/description"
"BCO-DMO","http://schema.org/EntryPoint","http://schema.org/httpMethod"
"BCO-DMO","http://schema.org/EntryPoint","http://schema.org/url"
"BCO-DMO","http://schema.org/EntryPoint","http://schema.org/urlTemplate"
"BCO-DMO","http://schema.org/Event","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Event","http://schema.org/description"
"BCO-DMO","http://schema.org/Event","http://schema.org/endDate"
"BCO-DMO","http://schema.org/Event","http://schema.org/identifier"
"BCO-DMO","http://schema.org/Event","http://schema.org/location"
"BCO-DMO","http://schema.org/Event","http://schema.org/name"
"BCO-DMO","http://schema.org/Event","http://schema.org/recordedIn"
"BCO-DMO","http://schema.org/Event","http://schema.org/startDate"
"BCO-DMO","http://schema.org/Event","http://schema.org/url"
"BCO-DMO","http://schema.org/GeoShape","http://schema.org/box"
"BCO-DMO","http://schema.org/GeoShape","http://schema.org/polygon"
"BCO-DMO","http://schema.org/ImageObject","http://schema.org/url"
"BCO-DMO","http://schema.org/Offer","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Offer","http://schema.org/name"
"BCO-DMO","http://schema.org/Offer","http://schema.org/offeredBy"
"BCO-DMO","http://schema.org/Offer","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/Offer","http://schema.org/url"
"BCO-DMO","http://schema.org/OfferCatalog","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/OfferCatalog","http://schema.org/itemListElement"
"BCO-DMO","http://schema.org/OfferCatalog","http://schema.org/name"
"BCO-DMO","http://schema.org/Organization","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Organization","http://schema.org/address"
"BCO-DMO","http://schema.org/Organization","http://schema.org/alternateName"
"BCO-DMO","http://schema.org/Organization","http://schema.org/availableChannel"
"BCO-DMO","http://schema.org/Organization","http://schema.org/category"
"BCO-DMO","http://schema.org/Organization","http://schema.org/contactPoint"
"BCO-DMO","http://schema.org/Organization","http://schema.org/description"
"BCO-DMO","http://schema.org/Organization","http://schema.org/foundingDate"
"BCO-DMO","http://schema.org/Organization","http://schema.org/funder"
"BCO-DMO","http://schema.org/Organization","http://schema.org/hasOfferCatalog"
"BCO-DMO","http://schema.org/Organization","http://schema.org/identifier"
"BCO-DMO","http://schema.org/Organization","http://schema.org/legalName"
"BCO-DMO","http://schema.org/Organization","http://schema.org/logo"
"BCO-DMO","http://schema.org/Organization","http://schema.org/mainContentOfPage"
"BCO-DMO","http://schema.org/Organization","http://schema.org/makesOffer"
"BCO-DMO","http://schema.org/Organization","http://schema.org/name"
"BCO-DMO","http://schema.org/Organization","http://schema.org/parentOrganization"
"BCO-DMO","http://schema.org/Organization","http://schema.org/potentialAction"
"BCO-DMO","http://schema.org/Organization","http://schema.org/provider"
"BCO-DMO","http://schema.org/Organization","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/Organization","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/Organization","http://schema.org/url"
"BCO-DMO","http://schema.org/Person","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Person","http://schema.org/name"
"BCO-DMO","http://schema.org/Person","http://schema.org/url"
"BCO-DMO","http://schema.org/Place","http://schema.org/additionalProperty"
"BCO-DMO","http://schema.org/Place","http://schema.org/address"
"BCO-DMO","http://schema.org/Place","http://schema.org/geo"
"BCO-DMO","http://schema.org/Place","http://schema.org/name"
"BCO-DMO","http://schema.org/Place","http://schema.org/subjectOf"
"BCO-DMO","http://schema.org/PostalAddress","http://schema.org/addressCountry"
"BCO-DMO","http://schema.org/PostalAddress","http://schema.org/addressLocality"
"BCO-DMO","http://schema.org/PostalAddress","http://schema.org/addressRegion"
"BCO-DMO","http://schema.org/PostalAddress","http://schema.org/postalCode"
"BCO-DMO","http://schema.org/PostalAddress","http://schema.org/streetAddress"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/alternateName"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/description"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/name"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/propertyID"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/unitText"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/url"
"BCO-DMO","http://schema.org/PropertyValue","http://schema.org/value"
"BCO-DMO","http://schema.org/PropertyValueSpecification","http://schema.org/valueName"
"BCO-DMO","http://schema.org/PropertyValueSpecification","http://schema.org/valueRequired"
"BCO-DMO","http://schema.org/Role","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Role","http://schema.org/creator"
"BCO-DMO","http://schema.org/Role","http://schema.org/roleName"
"BCO-DMO","http://schema.org/SearchAction","http://schema.org/query-input"
"BCO-DMO","http://schema.org/SearchAction","http://schema.org/target"
"BCO-DMO","http://schema.org/Service","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Service","http://schema.org/address"
"BCO-DMO","http://schema.org/Service","http://schema.org/availableChannel"
"BCO-DMO","http://schema.org/Service","http://schema.org/category"
"BCO-DMO","http://schema.org/Service","http://schema.org/contactPoint"
"BCO-DMO","http://schema.org/Service","http://schema.org/description"
"BCO-DMO","http://schema.org/Service","http://schema.org/foundingDate"
"BCO-DMO","http://schema.org/Service","http://schema.org/funder"
"BCO-DMO","http://schema.org/Service","http://schema.org/hasOfferCatalog"
"BCO-DMO","http://schema.org/Service","http://schema.org/identifier"
"BCO-DMO","http://schema.org/Service","http://schema.org/legalName"
"BCO-DMO","http://schema.org/Service","http://schema.org/logo"
"BCO-DMO","http://schema.org/Service","http://schema.org/mainContentOfPage"
"BCO-DMO","http://schema.org/Service","http://schema.org/name"
"BCO-DMO","http://schema.org/Service","http://schema.org/parentOrganization"
"BCO-DMO","http://schema.org/Service","http://schema.org/potentialAction"
"BCO-DMO","http://schema.org/Service","http://schema.org/provider"
"BCO-DMO","http://schema.org/Service","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/Service","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/Service","http://schema.org/url"
"BCO-DMO","http://schema.org/ServiceChannel","http://schema.org/availableLanguage"
"BCO-DMO","http://schema.org/ServiceChannel","http://schema.org/providesService"
"BCO-DMO","http://schema.org/ServiceChannel","http://schema.org/serviceUrl"
"BCO-DMO","http://schema.org/SiteNavigationElement","http://schema.org/description"
"BCO-DMO","http://schema.org/SiteNavigationElement","http://schema.org/name"
"BCO-DMO","http://schema.org/SiteNavigationElement","http://schema.org/position"
"BCO-DMO","http://schema.org/SiteNavigationElement","http://schema.org/url"
"BCO-DMO","http://schema.org/Thing","http://schema.org/name"
"BCO-DMO","http://schema.org/Vehicle","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Vehicle","http://schema.org/name"
"BCO-DMO","http://schema.org/Vehicle","http://schema.org/url"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/address"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/availableChannel"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/category"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/contactPoint"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/description"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/foundingDate"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/funder"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/hasOfferCatalog"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/identifier"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/legalName"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/logo"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/mainContentOfPage"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/name"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/parentOrganization"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/potentialAction"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/provider"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/WebPage","http://schema.org/url"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/address"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/availableChannel"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/category"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/contactPoint"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/description"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/foundingDate"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/funder"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/hasOfferCatalog"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/identifier"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/legalName"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/logo"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/mainContentOfPage"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/name"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/parentOrganization"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/potentialAction"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/provider"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/WebSite","http://schema.org/url"
"MagIC","http://schema.orgDataset","http://schema.orgcitation"
"MagIC","http://schema.orgDataset","http://schema.orgcontributor"
"MagIC","http://schema.orgDataset","http://schema.orgdateModified"
"MagIC","http://schema.orgDataset","http://schema.orgdatePublished"
"MagIC","http://schema.orgDataset","http://schema.orgkeywords"
"MagIC","http://schema.orgDataset","http://schema.orglicense"
"MagIC","http://schema.orgDataset","http://schema.orgname"
"MagIC","http://schema.orgDataset","http://schema.orgspatialCoverage"
"MagIC","http://schema.orgDataset","http://schema.orgurl"
"MagIC","http://schema.orgDataset","http://schema.orgversion"
"MagIC","http://schema.orgGeoCoordinates","http://schema.orglatitude"
"MagIC","http://schema.orgGeoCoordinates","http://schema.orglongitude"
"MagIC","http://schema.orgGeoShape","http://schema.orgbox"
"MagIC","http://schema.orgPlace","http://schema.orggeo"
"IEDA","http://schema.org/ContactPoint","http://schema.org/contactType"
"IEDA","http://schema.org/ContactPoint","http://schema.org/email"
"IEDA","http://schema.org/ContactPoint","http://schema.org/name"
"IEDA","http://schema.org/ContactPoint","http://schema.org/url"
"IEDA","http://schema.org/CreativeWork","http://schema.org/additionalType"
"IEDA","http://schema.org/CreativeWork","http://schema.org/funder"
